,HA
% Above Low,0.1003
% Held by Institutions,0.7806000000000001
52-Wk Range,['12.76 - 21.71']
Annual Dividend $,
Annual Dividend %,
Ask,14.36
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.8
Bid,14.0
Bid Size,100.0
Closing Price,14.04
Day Change $,0.09
Day Change %,0.006500000000000001
Day High,14.17
Day Low,13.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.5
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,721.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.95
Shares Outstanding,51.4M
Short Interest,0.061500000000000006
Today's Open,13.8
Volume,256960.0
Volume 10-day Avg,566574.0
Volume Past Day,(Light)
