,HA
Price/Earnings (TTM),
Price/Sales (TTM),0.30013
Price/Book (MRQ),2.07727
Price/Cash Flow (TTM),
5yr Low,7.55
5yr High,44.25
5yr Avg Return,-0.13581666666666664
EPS Growth 5yr,
Revenue Growth 5yr,-0.0807558
Dividend Growth 5yr,
Short Int Current Month,3084060.0
Short Int Prev Month,3027392.0
Short Int Pct of Float,0.0615245
Days to Cover,4.94657
Float,50.16629
Shares Outstanding,51.41134
Institutions Holding Shares,236.0
% Held by Institutions,0.780613
FCF Growth 5yr,-1.7949443638122882
