,HA
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4663341645885286
Growth 1yr High Est,-0.46744791666666663
Growth 1yr Consensus Est,-0.4668910406275976
Growth 2yr Low Est,-0.6513913813596849
Growth 2yr High Est,-0.8559733470863895
Growth 2yr Consensus Est,-0.7536823642230372
Growth 5yr Low Est,-1.5199555974397492
Growth 5yr High Est,-1.358888229637028
Growth 5yr Consensus Est,-1.4394219135383888
Growth 5yr Actual/Est,-1.3603902807604158
Growth 3yr Historic,-0.9921822742474917
