,FDMT
Price/Earnings (TTM),
Price/Sales (TTM),375.64
Price/Book (MRQ),2.94753
Price/Cash Flow (TTM),
5yr Low,5.32
5yr High,55.11
5yr Avg Return,-0.13486666666666666
Short Int Current Month,2698824.0
Short Int Prev Month,2898778.0
Short Int Pct of Float,0.09415190000000001
Days to Cover,4.29464
Float,28.66457
Shares Outstanding,32.39238
Institutions Holding Shares,144.0
% Held by Institutions,0.7582819999999999
FCF Growth 5yr,0.18623107627881588
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
