,FDMT
% Below High,0.0781
% Held by Institutions,0.7583
52-Wk Range,['5.32 - 24.82']
Annual Dividend $,
Annual Dividend %,
Ask,23.7
Ask Size,900.0
B/A Ratio,1.3333333333333333
B/A Size,1200x900
Beta,
Bid,22.13
Bid Size,1200.0
Closing Price,22.88
Day Change $,-0.38
Day Change %,-0.0163
Day High,23.55
Day Low,22.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.3
Ex-dividend Date,No dividend
Historical Volatility,0.909
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,741.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,23.26
Shares Outstanding,32.4M
Short Interest,0.0942
Today's Open,23.12
Volume,183590.0
Volume 10-day Avg,1189278.0
Volume Past Day,(Light)
