,ACN
% Above Low,0.22
% Held by Institutions,0.7162000000000001
52-Wk Range,['242.95 - 417.37']
Annual Dividend $,4.48
Annual Dividend %,0.0151
Ask,298.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,295.71
Bid Size,100.0
Closing Price,296.4
Day Change $,1.87
Day Change %,0.0063
Day High,297.52
Day Low,294.3
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",10.71
Ex-dividend,2022-10-12 00:00:00
Ex-dividend Date,10/12/22
Historical Volatility,0.33
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,186.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.67
Prev Close,294.53
Shares Outstanding,630.1M
Short Interest,0.0078000000000000005
Today's Open,294.3
Volume,677924.0
Volume 10-day Avg,1755972.0
Volume Past Day,(Light)
