,ACN
Price/Earnings (TTM),27.66533
Price/Sales (TTM),3.19903
Price/Book (MRQ),8.46945
Price/Cash Flow (TTM),23.03211
5yr Low,132.63
5yr High,417.37
5yr Avg Return,0.1684333333333333
EPS Growth 5yr,0.1449897
Revenue Growth 5yr,0.1123001
Dividend Growth 5yr,0.09901410000000001
Short Int Current Month,5163120.0
Short Int Prev Month,4906350.0
Short Int Pct of Float,0.0077782
Days to Cover,2.21614
Float,663.4002
Shares Outstanding,664.7831
Institutions Holding Shares,2716.0
% Held by Institutions,0.7162099999999999
FCF Growth 5yr,2.5416136249864643
