,UEC
% Above Low,0.5427000000000001
% Held by Institutions,0.44909999999999994
52-Wk Range,['2.34 - 6.60']
Annual Dividend $,
Annual Dividend %,
Ask,3.67
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.1
Bid,3.65
Bid Size,100.0
Closing Price,3.61
Day Change $,-0.24
Day Change %,-0.0623
Day High,3.8
Day Low,3.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.9590000000000001
Last (size),2.0
Last (time),8:00p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",289.26
Prev Close,3.85
Shares Outstanding,367.1M
Short Interest,0.11199999999999999
Today's Open,3.76
Volume,5483507.0
Volume 10-day Avg,6243395.0
Volume Past Day,(Below Average)
