,UEC
Price/Earnings (TTM),289.2562
Price/Sales (TTM),13.93619
Price/Book (MRQ),3.41106
Price/Cash Flow (TTM),234.2005
5yr Low,0.35
5yr High,6.6
5yr Avg Return,0.24581666666666663
Short Int Current Month,40174844.0
Short Int Prev Month,46458272.0
Short Int Pct of Float,0.111977
Days to Cover,4.42547
Float,358.7778
Shares Outstanding,365.0493
Institutions Holding Shares,246.0
% Held by Institutions,0.449104
FCF Growth 5yr,0.6699483819967229
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
