,ELY
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.2407407407407408
Growth 1yr High Est,-0.0265486725663715
Growth 1yr Consensus Est,-0.13364470665355616
Growth 2yr Low Est,-0.230126467931346
Growth 2yr High Est,-0.0541834271922767
Growth 2yr Consensus Est,-0.14215494756181135
Growth 5yr Low Est,-0.115063233965673
Growth 5yr High Est,-0.02709171359613835
Growth 5yr Consensus Est,-0.07107747378090568
Growth 5yr Actual/Est,-0.024235075115504434
Growth 3yr Historic,-0.056682496607869726
