,GSBC
% Below High,0.0298
% Held by Institutions,0.4274
52-Wk Range,['50.30 - 64.16']
Annual Dividend $,1.6
Annual Dividend %,0.025699999999999997
Ask,64.1
Ask Size,3000.0
B/A Ratio,0.06666666666666667
B/A Size,200x3000
Beta,0.8
Bid,24.86
Bid Size,200.0
Closing Price,62.25
Day Change $,0.74
Day Change %,0.012
Day High,62.29
Day Low,61.37
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",5.34
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.20600000000000002
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,760.4M
"P/E Ratio (TTM, GAAP)",11.65
Prev Close,61.51
Shares Outstanding,12.2M
Short Interest,0.028999999999999998
Today's Open,61.37
Volume,8449.0
Volume 10-day Avg,20586.0
Volume Past Day,(Light)
