,GSBC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.041516245487364545
Growth 1yr High Est,0.04609929078014208
Growth 1yr Consensus Est,0.04380776813375331
Growth 2yr Low Est,0.06235257681647266
Growth 2yr High Est,0.0950835436951557
Growth 2yr Consensus Est,0.07871806025581418
Growth 5yr Low Est,0.05221347040432239
Growth 5yr High Est,0.07132817961456811
Growth 5yr Consensus Est,0.06177082500944525
Growth 5yr Actual/Est,0.07166494540307441
Growth 3yr Historic,0.028994565468543537
