,GSBC
Price/Earnings (TTM),11.64982
Price/Sales (TTM),3.381
Price/Book (MRQ),1.49095
Price/Cash Flow (TTM),9.70178
5yr Low,32.23
5yr High,64.48
5yr Avg Return,0.04066666666666666
EPS Growth 5yr,0.1122334
Revenue Growth 5yr,0.0141713
Dividend Growth 5yr,0.09415609999999999
Short Int Current Month,259909.0
Short Int Prev Month,285788.0
Short Int Pct of Float,0.028998200000000002
Days to Cover,13.92046
Float,9.00944
Shares Outstanding,12.21489
Institutions Holding Shares,153.0
% Held by Institutions,0.427421
FCF Growth 5yr,-0.09734934545061129
