,FRO
% Below High,0.0668
% Held by Institutions,0.5013000000000001
52-Wk Range,['6.10 - 14.75']
Annual Dividend $,0.15
Annual Dividend %,0.0109
Ask,13.76
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.3
Bid,12.05
Bid Size,100.0
Closing Price,13.76
Day Change $,-0.08
Day Change %,-0.0058
Day High,13.84
Day Low,13.17
Dividend Pay Date,2022-10-03 00:00:00
"EPS (TTM, GAAP)",0.31
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.59
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.32
Prev Close,13.84
Shares Outstanding,222.6M
Short Interest,0.11259999999999999
Today's Open,13.45
Volume,2788111.0
Volume 10-day Avg,3454854.0
Volume Past Day,(Below Average)
