,FRO
Price/Earnings (TTM),44.31705
Price/Sales (TTM),3.35915
Price/Book (MRQ),1.46863
Price/Cash Flow (TTM),13.89421
5yr Low,3.79
5yr High,14.75
5yr Avg Return,0.28665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0013093
Dividend Growth 5yr,
Short Int Current Month,16072360.0
Short Int Prev Month,12644151.0
Short Int Pct of Float,0.11256740000000001
Days to Cover,4.35603
Float,142.7798
Shares Outstanding,222.6229
Institutions Holding Shares,223.0
% Held by Institutions,0.501347
FCF Growth 5yr,-4.44904582781792
