,FRO
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-4.135135135135135
Growth 1yr High Est,-8.782608695652174
Growth 1yr Consensus Est,-6.4588719153936545
Growth 2yr Low Est,-1.9210158434296365
Growth 2yr High Est,-4.137114403692008
Growth 2yr Consensus Est,-3.029065123560822
Growth 5yr Low Est,-1.6738811124482365
Growth 5yr High Est,-3.125789273612311
Growth 5yr Consensus Est,-2.3998351930302735
Growth 5yr Actual/Est,-1.2877922482133761
Growth 3yr Historic,0.1165263941371808
