,JRVR
% Above Low,0.1999
% Held by Institutions,0.975
52-Wk Range,['19.76 - 30.11']
Annual Dividend $,0.2
Annual Dividend %,0.0084
Ask,28.99
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.4
Bid,9.51
Bid Size,200.0
Closing Price,23.71
Day Change $,0.42
Day Change %,0.018000000000000002
Day High,23.99
Day Low,23.2
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",-1.59
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.42
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,888.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,23.29
Shares Outstanding,37.5M
Short Interest,0.0326
Today's Open,23.43
Volume,52820.0
Volume 10-day Avg,164904.0
Volume Past Day,(Light)
