,FND
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.11250000000000004
Growth 1yr High Est,0.10000000000000009
Growth 1yr Consensus Est,0.10625000000000007
Growth 2yr Low Est,0.061867977528089924
Growth 2yr High Est,0.19727272727272738
Growth 2yr Consensus Est,0.12957035240040865
Growth 5yr Low Est,0.2831103766298455
Growth 5yr High Est,0.3521629165050218
Growth 5yr Consensus Est,0.3176366465674337
Growth 5yr Actual/Est,0.29643000448773793
Growth 3yr Historic,0.2327536231884058
