,FND
% Above Low,0.2371
% Held by Institutions,1.0533
52-Wk Range,['59.91 - 134.95']
Annual Dividend $,
Annual Dividend %,
Ask,85.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.7
Bid,60.0
Bid Size,200.0
Closing Price,74.12
Day Change $,0.09
Day Change %,0.0012
Day High,74.85
Day Low,73.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.61
Ex-dividend Date,No dividend
Historical Volatility,0.5970000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,7.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.43
Prev Close,74.03
Shares Outstanding,106.1M
Short Interest,0.1197
Today's Open,73.66
Volume,460005.0
Volume 10-day Avg,1547359.0
Volume Past Day,(Light)
