,FND
Price/Earnings (TTM),28.4294
Price/Sales (TTM),1.90412
Price/Book (MRQ),4.96987
Price/Cash Flow (TTM),18.49725
5yr Low,23.3
5yr High,145.89
5yr Avg Return,0.25861666666666666
EPS Growth 5yr,0.4143537
Revenue Growth 5yr,0.2672072
Dividend Growth 5yr,
Short Int Current Month,12298879.0
Short Int Prev Month,10633338.0
Short Int Pct of Float,0.119728
Days to Cover,5.32929
Float,104.1379
Shares Outstanding,106.1176
Institutions Holding Shares,443.0
% Held by Institutions,1.0533329999999999
FCF Growth 5yr,0.496359727544859
