,CNMD
% Above Low,0.1691
% Held by Institutions,1.1227
52-Wk Range,['71.09 - 155.51']
Annual Dividend $,0.8
Annual Dividend %,0.0096
Ask,83.63
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,83.11
Day Change $,-0.04
Day Change %,-0.0005
Day High,83.71
Day Low,82.1
Dividend Pay Date,2022-10-05 00:00:00
"EPS (TTM, GAAP)",-2.91
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.43700000000000006
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,83.15
Shares Outstanding,30.5M
Short Interest,0.1173
Today's Open,83.18
Volume,108202.0
Volume 10-day Avg,418526.0
Volume Past Day,(Light)
