,CNMD
Price/Earnings (TTM),
Price/Sales (TTM),2.37081
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,37.66
5yr High,159.11
5yr Avg Return,0.13676666666666662
EPS Growth 5yr,0.2992388
Revenue Growth 5yr,0.057681199999999995
Dividend Growth 5yr,0.0
Short Int Current Month,3424774.0
Short Int Prev Month,3299661.0
Short Int Pct of Float,0.11725160000000001
Days to Cover,7.8983
Float,29.25485
Shares Outstanding,30.48241
Institutions Holding Shares,345.0
% Held by Institutions,1.122684
FCF Growth 5yr,-1.1131617700172143
