,CRK
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,3.9264705882352935
Growth 1yr High Est,3.7411764705882353
Growth 1yr Consensus Est,3.8338235294117644
Growth 2yr Low Est,1.7826382791922737
Growth 2yr High Est,2.235352503284192
Growth 2yr Consensus Est,2.0089953912382326
Growth 5yr Low Est,0.8913191395961368
Growth 5yr High Est,1.117676251642096
Growth 5yr Consensus Est,1.0044976956191165
Growth 5yr Actual/Est,1.4703602946903174
Growth 3yr Historic,0.8355448898927158
