,CRK
Price/Earnings (TTM),5.08692
Price/Sales (TTM),1.31448
Price/Book (MRQ),2.72816
Price/Cash Flow (TTM),3.09162
5yr Low,4.05
5yr High,22.11
5yr Avg Return,0.4239833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.6014423
Dividend Growth 5yr,
Short Int Current Month,18335531.0
Short Int Prev Month,17140192.0
Short Int Pct of Float,0.22686910000000002
Days to Cover,4.52836
Float,81.09756
Shares Outstanding,233.7577
Institutions Holding Shares,285.0
% Held by Institutions,0.347549
FCF Growth 5yr,0.7919351217960209
