,VERV
Price/Earnings (TTM),
Price/Sales (TTM),1478.756
Price/Book (MRQ),2.4599
Price/Cash Flow (TTM),
5yr Low,10.7
5yr High,78.0
5yr Avg Return,-0.0929
Short Int Current Month,9981339.0
Short Int Prev Month,10051516.0
Short Int Pct of Float,0.18009989999999998
Days to Cover,6.40448
Float,55.5169
Shares Outstanding,61.60379
Institutions Holding Shares,185.0
% Held by Institutions,1.002196
FCF Growth 5yr,0.24501963963544035
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
