,VERV
% Above Low,1.0411
% Held by Institutions,1.0022
52-Wk Range,['10.70 - 43.00']
Annual Dividend $,
Annual Dividend %,
Ask,21.85
Ask Size,1300.0
B/A Ratio,0.38461538461538464
B/A Size,500x1300
Beta,
Bid,21.5
Bid Size,500.0
Closing Price,21.84
Day Change $,-0.46
Day Change %,-0.0206
Day High,22.36
Day Low,21.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.9
Ex-dividend Date,No dividend
Historical Volatility,1.041
Last (size),16.0
Last (time),4:00p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.3
Shares Outstanding,61.6M
Short Interest,0.1801
Today's Open,22.18
Volume,846964.0
Volume 10-day Avg,701741.0
Volume Past Day,(Heavy Day)
