,SUPN
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.2093023255813954
Growth 1yr High Est,0.015873015873015817
Growth 1yr Consensus Est,-0.09671465485418979
Growth 2yr Low Est,-0.4134746922024624
Growth 2yr High Est,-0.3260478670634921
Growth 2yr Consensus Est,-0.3697612796329772
Growth 5yr Low Est,-0.19325695394436845
Growth 5yr High Est,-0.11302393353174606
Growth 5yr Consensus Est,-0.15314044373805724
Growth 5yr Actual/Est,0.016161456227274884
Growth 3yr Historic,-0.11523405972558515
