,SUPN
% Below High,0.020499999999999997
% Held by Institutions,1.0398
52-Wk Range,['24.95 - 36.08']
Annual Dividend $,
Annual Dividend %,
Ask,35.35
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.9
Bid,35.3
Bid Size,400.0
Day Change $,0.131
Day Change %,0.0037
Day High,35.43
Day Low,34.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.62
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),30.0
Last (time),3:39p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",56.62
Prev Close,35.21
Price,35.34
Shares Outstanding,54.1M
Short Interest,0.1108
Today's Open,35.11
Volume Past Day,(Light)
