,SUPN
Price/Earnings (TTM),56.6241
Price/Sales (TTM),2.88847
Price/Book (MRQ),2.23174
Price/Cash Flow (TTM),16.5381
5yr Low,13.12
5yr High,61.25
5yr Avg Return,-0.0023499999999999945
EPS Growth 5yr,-0.11040789999999999
Revenue Growth 5yr,0.2194472
Dividend Growth 5yr,
Short Int Current Month,5711975.0
Short Int Prev Month,5905461.0
Short Int Pct of Float,0.1107522
Days to Cover,11.60223
Float,51.57475
Shares Outstanding,54.05814
Institutions Holding Shares,325.0
% Held by Institutions,1.039848
FCF Growth 5yr,6.6616531547157045
