,VTNR
Price/Earnings (TTM),
Price/Sales (TTM),0.33823
Price/Book (MRQ),5.54392
Price/Cash Flow (TTM),
5yr Low,0.4005
5yr High,18.1
5yr Avg Return,0.9811500000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0337431
Dividend Growth 5yr,
Short Int Current Month,21488777.0
Short Int Prev Month,22358648.0
Short Int Pct of Float,0.3511468
Days to Cover,5.81505
Float,61.25599
Shares Outstanding,75.66883
Institutions Holding Shares,160.0
% Held by Institutions,0.48690600000000006
FCF Growth 5yr,1.5414606344025443
