,VTNR
% Above Low,1.4211000000000003
% Held by Institutions,0.4869
52-Wk Range,['3.30 - 18.10']
Annual Dividend $,
Annual Dividend %,
Ask,8.1
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.1
Bid,8.05
Bid Size,500.0
Closing Price,7.99
Day Change $,-0.71
Day Change %,-0.0816
Day High,8.52
Day Low,7.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.14
Ex-dividend Date,No dividend
Historical Volatility,1.1
Last (size),1000.0
Last (time),4:00p ET 11/28/22
Market Cap,604.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.7
Shares Outstanding,75.7M
Short Interest,0.35109999999999997
Today's Open,8.47
Volume,2209615.0
Volume 10-day Avg,2328281.0
Volume Past Day,(Average)
