,ODFL
Price/Earnings (TTM),25.17406
Price/Sales (TTM),5.25678
Price/Book (MRQ),9.1675
Price/Cash Flow (TTM),20.26436
5yr Low,76.67
5yr High,373.58
5yr Avg Return,0.2919166666666666
EPS Growth 5yr,0.30239309999999997
Revenue Growth 5yr,0.1193301
Dividend Growth 5yr,
Short Int Current Month,5039353.0
Short Int Prev Month,5345537.0
Short Int Pct of Float,0.0523184
Days to Cover,4.9487
Float,96.33458
Shares Outstanding,110.4816
Institutions Holding Shares,1037.0
% Held by Institutions,0.747115
FCF Growth 5yr,0.2631872140724893
