,ODFL
% Above Low,0.271
% Held by Institutions,0.7471
52-Wk Range,['231.31 - 373.58']
Annual Dividend $,1.2
Annual Dividend %,0.0040999999999999995
Ask,320.0
Ask Size,100.0
Ask close,315.58
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,259.0
Bid Size,100.0
Bid close,276.37
Change Since Close,1.35| |(0.46%)
Closing Price,293.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",11.68
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.42
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,295.34
Market Cap,32.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.17
Prev Close,293.99
Shares Outstanding,110.5M
Short Interest,0.052300000000000006
Today's Open,
Volume,101.0
Volume 10-day Avg,855455.0
Volume Past Day,(Light)
