,UHS
% Below High,0.18420000000000003
% Held by Institutions,0.9942
52-Wk Range,['82.50 - 158.28']
Annual Dividend $,0.8
Annual Dividend %,0.006
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,86.8
Bid Size,
Closing Price,129.13
Day Change $,-3.6
Day Change %,-0.0271
Day High,131.15
Day Low,129.05
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",9.72
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.401
Last (size),388.0
Last (time),7:00p ET 11/28/22
Market Cap,9.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.66
Prev Close,132.73
Shares Outstanding,71.4M
Short Interest,0.0344
Today's Open,131.05
Volume,823466.0
Volume 10-day Avg,713289.0
Volume Past Day,(Above Average)
