,UHS
Price/Earnings (TTM),13.65806
Price/Sales (TTM),0.71652
Price/Book (MRQ),1.61874
Price/Cash Flow (TTM),7.36203
5yr Low,65.2
5yr High,165.0
5yr Avg Return,0.04250000000000001
EPS Growth 5yr,0.1062449
Revenue Growth 5yr,0.0529767
Dividend Growth 5yr,
Short Int Current Month,2125533.0
Short Int Prev Month,2072949.0
Short Int Pct of Float,0.034406599999999996
Days to Cover,2.89364
Float,61.81141
Shares Outstanding,71.41043
Institutions Holding Shares,627.0
% Held by Institutions,0.9942489999999999
FCF Growth 5yr,2.626190476190476
