,BLND
Price/Earnings (TTM),
Price/Sales (TTM),1.19979
Price/Book (MRQ),1.86742
Price/Cash Flow (TTM),
5yr Low,1.4
5yr High,21.04
5yr Avg Return,-0.7234999999999999
Short Int Current Month,14694143.0
Short Int Prev Month,15880077.0
Short Int Pct of Float,0.0736962
Days to Cover,10.42735
Float,210.728
Shares Outstanding,237.7035
Institutions Holding Shares,135.0
% Held by Institutions,0.680378
FCF Growth 5yr,0.3132925354016937
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
