,BLND
% Above Low,0.0534
% Held by Institutions,0.6804000000000001
52-Wk Range,['1.31 - 11.69']
Annual Dividend $,
Annual Dividend %,
Ask,1.4
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,1.38
Bid Size,400.0
Closing Price,1.38
Day Change $,-0.12
Day Change %,-0.08
Day High,1.55
Day Low,1.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.07
Ex-dividend Date,No dividend
Historical Volatility,0.88
Last (size),60.0
Last (time),5:00p ET 11/25/22
Market Cap,328.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.5
Shares Outstanding,237.7M
Short Interest,0.0737
Today's Open,1.55
Volume,1738183.0
Volume 10-day Avg,1790273.0
Volume Past Day,(Average)
