,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2021,Negative Surprise,-0.88,,,,,,,-0.49,-0.88,,
Year ending 12/2022,Neutral,,-0.72,0.0,-0.75,,-0.68,,-0.72,-0.72,-0.18181818181818188,
Year ending 12/2023,Neutral,,-0.45,0.0,-0.59,-0.21333333333333337,-0.35,-0.4852941176470589,-0.45,-0.45,-0.375,-0.3493137254901961
