,HRB
Price/Earnings (TTM),13.2943
Price/Sales (TTM),1.94187
Price/Book (MRQ),
Price/Cash Flow (TTM),9.80587
5yr Low,11.29
5yr High,48.76
5yr Avg Return,0.14943333333333333
Short Int Current Month,12641310.0
Short Int Prev Month,11778872.0
Short Int Pct of Float,0.0820981
Days to Cover,5.97056
Float,154.0209
Shares Outstanding,155.4682
Institutions Holding Shares,594.0
% Held by Institutions,0.9125270000000001
FCF Growth 5yr,-0.4846277716087622
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
