,HRB
% Below High,0.1161
% Held by Institutions,0.9125
52-Wk Range,['21.08 - 48.76']
Annual Dividend $,1.16
Annual Dividend %,0.0269
Ask,47.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,34.71
Bid Size,100.0
Closing Price,43.1
Day Change $,0.51
Day Change %,0.012
Day High,43.29
Day Low,42.43
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.385
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",13.29
Prev Close,42.59
Shares Outstanding,155.5M
Short Interest,0.0821
Today's Open,42.6
Volume,613939.0
Volume 10-day Avg,1689036.0
Volume Past Day,(Light)
