,HRB
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.09552238805970137
Growth 1yr High Est,0.06060606060606055
Growth 1yr Consensus Est,0.07806422433288096
Growth 2yr Low Est,0.06819716133230302
Growth 2yr High Est,0.0861471861471862
Growth 2yr Consensus Est,0.07717217373974461
Growth 5yr Low Est,0.06819716133230302
Growth 5yr High Est,0.0861471861471862
Growth 5yr Consensus Est,0.07717217373974461
Growth 5yr Actual/Est,0.9377052442359222
Growth 3yr Historic,0.8953347836596568
