,GTLS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.9835390946502058
Growth 1yr High Est,0.6095238095238096
Growth 1yr Consensus Est,0.7965314520870077
Growth 2yr Low Est,0.658781995457883
Growth 2yr High Est,0.603578472809242
Growth 2yr Consensus Est,0.6311802341335625
Growth 5yr Low Est,0.658781995457883
Growth 5yr High Est,0.603578472809242
Growth 5yr Consensus Est,0.6311802341335625
Growth 5yr Actual/Est,0.3462949072252483
Growth 3yr Historic,0.030906593406593352
