,GTLS
Price/Earnings (TTM),73.59213
Price/Sales (TTM),3.19763
Price/Book (MRQ),3.00048
Price/Cash Flow (TTM),30.80182
5yr Low,15.0
5yr High,242.59
5yr Avg Return,0.22638333333333333
EPS Growth 5yr,0.212425
Revenue Growth 5yr,0.1278618
Dividend Growth 5yr,
Short Int Current Month,4778363.0
Short Int Prev Month,4996745.0
Short Int Pct of Float,0.1310974
Days to Cover,3.4316
Float,36.45224
Shares Outstanding,36.63522
Institutions Holding Shares,497.0
% Held by Institutions,1.2067780000000001
FCF Growth 5yr,-0.7179968587283715
