,GTLS
% Above Low,0.24920000000000003
% Held by Institutions,1.2068
52-Wk Range,['108.29 - 242.59']
Annual Dividend $,
Annual Dividend %,
Ask,160.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,134.5
Bid Size,100.0
Closing Price,135.28
Day Change $,3.61
Day Change %,0.0274
Day High,137.14
Day Low,131.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.84
Ex-dividend Date,No dividend
Historical Volatility,0.706
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",73.59
Prev Close,131.67
Shares Outstanding,36.6M
Short Interest,0.1311
Today's Open,131.24
Volume,389043.0
Volume 10-day Avg,1464653.0
Volume Past Day,(Light)
