,SCSC
% Above Low,0.18170000000000003
% Held by Institutions,0.9692000000000001
52-Wk Range,['25.75 - 41.01']
Annual Dividend $,
Annual Dividend %,
Ask,30.52
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,30.4
Bid Size,100.0
Day Change $,-0.82
Day Change %,-0.0262
Day High,31.11
Day Low,30.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.53
Ex-dividend Date,No dividend
Historical Volatility,0.397
Last (size),55.0
Last (time),1:46p ET 11/28/22
Market Cap,768.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.86
Prev Close,31.25
Price,30.43
Shares Outstanding,25.2M
Short Interest,0.0102
Today's Open,31.11
Volume Past Day,(Light)
