,SCSC
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.04249999999999998
Growth 1yr High Est,0.09876543209876543
Growth 1yr Consensus Est,0.0706327160493827
Growth 2yr Low Est,0.05722122302158272
Growth 2yr High Est,0.09657372728533775
Growth 2yr Consensus Est,0.07689747515346024
Growth 5yr Low Est,0.27861061151079136
Growth 5yr High Est,0.2692170962008084
Growth 5yr Consensus Est,0.27391385385579986
Growth 5yr Actual/Est,0.24216477797796254
Growth 3yr Historic,0.19637261883567747
