,TRMK
% Below High,0.055099999999999996
% Held by Institutions,0.6673
52-Wk Range,['26.67 - 38.47']
Annual Dividend $,0.92
Annual Dividend %,0.025099999999999997
Ask,36.38
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.9
Bid,36.35
Bid Size,200.0
Closing Price,36.35
Day Change $,-0.37
Day Change %,-0.0101
Day High,36.69
Day Low,36.21
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24100000000000002
Last (size),2400.0
Last (time),3:59p ET 11/28/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,36.72
Shares Outstanding,61.0M
Short Interest,0.023799999999999998
Today's Open,36.51
Volume,168169.0
Volume 10-day Avg,270421.0
Volume Past Day,(Light)
