,TRMK
Price/Earnings (TTM),17.12583
Price/Sales (TTM),3.40574
Price/Book (MRQ),1.48331
Price/Cash Flow (TTM),12.86322
5yr Low,20.08
5yr High,38.47
5yr Avg Return,0.022583333333333337
EPS Growth 5yr,0.0790927
Revenue Growth 5yr,0.014351599999999999
Dividend Growth 5yr,0.0
Short Int Current Month,1308874.0
Short Int Prev Month,1291279.0
Short Int Pct of Float,0.0237885
Days to Cover,5.79071
Float,55.0425
Shares Outstanding,60.95386
Institutions Holding Shares,285.0
% Held by Institutions,0.6673250000000001
FCF Growth 5yr,0.38385709206629426
