,AGO
% Below High,0.0464
% Held by Institutions,0.9224
52-Wk Range,['44.94 - 65.68']
Annual Dividend $,1.0
Annual Dividend %,0.016
Ask,63.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,27.62
Bid Size,100.0
Closing Price,62.63
Day Change $,0.96
Day Change %,0.015600000000000001
Day High,63.0
Day Low,61.82
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.17
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.373
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.02
Prev Close,61.67
Shares Outstanding,60.0M
Short Interest,0.0241
Today's Open,62.06
Volume,107723.0
Volume 10-day Avg,229336.0
Volume Past Day,(Light)
