,AGO
Price/Earnings (TTM),15.02203
Price/Sales (TTM),5.59145
Price/Book (MRQ),0.77153
Price/Cash Flow (TTM),
5yr Low,13.64
5yr High,65.68
5yr Avg Return,0.13524999999999998
EPS Growth 5yr,-0.044168599999999995
Revenue Growth 5yr,-0.1355814
Dividend Growth 5yr,0.1109535
Short Int Current Month,1354841.0
Short Int Prev Month,1409403.0
Short Int Pct of Float,0.024110399999999997
Days to Cover,4.79451
Float,56.40565
Shares Outstanding,59.99446
Institutions Holding Shares,333.0
% Held by Institutions,0.9223640000000001
FCF Growth 5yr,
