,AGO
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5865724381625441
Growth 1yr High Est,0.5901639344262295
Growth 1yr Consensus Est,0.5883681862943868
Growth 2yr Low Est,0.14963365783405602
Growth 2yr High Est,0.2682778435017746
Growth 2yr Consensus Est,0.2089557506679153
Growth 5yr Low Est,0.016033045133244217
Growth 5yr High Est,0.08532625684323555
Growth 5yr Consensus Est,0.050679650988239885
Growth 5yr Actual/Est,0.1199278367184562
Growth 3yr Historic,0.22188423019625067
