,WOOF
% Above Low,0.057999999999999996
% Held by Institutions,0.647
52-Wk Range,['9.14 - 22.75']
Annual Dividend $,
Annual Dividend %,
Ask,9.75
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,9.6
Bid Size,100.0
Closing Price,9.67
Day Change $,-0.23
Day Change %,-0.0232
Day High,10.1
Day Low,9.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.45
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",21.93
Prev Close,9.9
Shares Outstanding,265.7M
Short Interest,0.19940000000000002
Today's Open,9.88
Volume,2559739.0
Volume 10-day Avg,3112972.0
Volume Past Day,(Below Average)
