,WOOF
Price/Earnings (TTM),21.92837
Price/Sales (TTM),0.50802
Price/Book (MRQ),1.31832
Price/Cash Flow (TTM),10.36119
5yr Low,9.14
5yr High,31.08
5yr Avg Return,-0.37534999999999996
EPS Growth 5yr,0.36056019999999994
Revenue Growth 5yr,0.0526179
Dividend Growth 5yr,
Short Int Current Month,15969978.0
Short Int Prev Month,17605817.0
Short Int Pct of Float,0.1994099
Days to Cover,5.92342
Float,80.37369
Shares Outstanding,303.5001
Institutions Holding Shares,259.0
% Held by Institutions,0.647007
FCF Growth 5yr,0.7305528093504382
