,SMCI
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.7695473251028804
Growth 1yr High Est,3.35483870967742
Growth 1yr Consensus Est,3.0621930173901504
Growth 2yr Low Est,1.2433981166999117
Growth 2yr High Est,1.6325119474313026
Growth 2yr Consensus Est,1.4379550320656072
Growth 5yr Low Est,0.8289320777999412
Growth 5yr High Est,1.0883412982875351
Growth 5yr Consensus Est,0.9586366880437381
Growth 5yr Actual/Est,0.45984027672714844
Growth 3yr Historic,0.29338316641434725
