,SMCI
Price/Earnings (TTM),11.50067
Price/Sales (TTM),0.82585
Price/Book (MRQ),3.05293
Price/Cash Flow (TTM),10.39993
5yr Low,8.5
5yr High,94.99
5yr Avg Return,0.3613833333333333
EPS Growth 5yr,0.3267795
Revenue Growth 5yr,0.1589713
Dividend Growth 5yr,
Short Int Current Month,2858646.0
Short Int Prev Month,2800539.0
Short Int Pct of Float,0.06311270000000001
Days to Cover,2.38062
Float,45.85045
Shares Outstanding,52.92289
Institutions Holding Shares,290.0
% Held by Institutions,0.726751
FCF Growth 5yr,-0.13691845610750297
