,CVCO
% Above Low,0.22510000000000002
% Held by Institutions,0.9405
52-Wk Range,['179.47 - 327.24']
Annual Dividend $,
Annual Dividend %,
Ask,264.72
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,220.0
Bid Size,200.0
Closing Price,219.87
Day Change $,0.47
Day Change %,0.0021
Day High,221.26
Day Low,217.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",29.25
Ex-dividend Date,No dividend
Historical Volatility,0.493
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.52
Prev Close,219.4
Shares Outstanding,8.9M
Short Interest,0.0305
Today's Open,217.43
Volume,33221.0
Volume 10-day Avg,90470.0
Volume Past Day,(Light)
