,CVCO
Price/Earnings (TTM),7.5162
Price/Sales (TTM),0.93151
Price/Book (MRQ),2.10876
Price/Cash Flow (TTM),6.92238
5yr Low,99.58
5yr High,327.24
5yr Avg Return,0.13016666666666665
EPS Growth 5yr,0.3862737
Revenue Growth 5yr,0.1602739
Dividend Growth 5yr,
Short Int Current Month,253894.0
Short Int Prev Month,334288.0
Short Int Pct of Float,0.030463900000000002
Days to Cover,2.55828
Float,8.34051
Shares Outstanding,8.90934
Institutions Holding Shares,319.0
% Held by Institutions,0.940505
FCF Growth 5yr,0.7473392237549884
