,CVCO
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.26050420168067223
Growth 1yr High Est,0.32811735941320297
Growth 1yr Consensus Est,0.2943107805469376
Growth 2yr Low Est,0.06162464985994398
Growth 2yr High Est,0.12337384907331722
Growth 2yr Consensus Est,0.0924992494666306
Growth 5yr Low Est,0.39682937730512424
Growth 5yr High Est,0.4131575127719527
Growth 5yr Consensus Est,0.40499344503853846
Growth 5yr Actual/Est,0.42923653855845545
Growth 3yr Historic,0.40129629629629626
