,VRSK
% Above Low,0.1377
% Held by Institutions,0.9156
52-Wk Range,['156.05 - 230.80']
Annual Dividend $,1.24
Annual Dividend %,0.0068000000000000005
Ask,178.28
Ask Size,100.0
B/A Ratio,75.0
B/A Size,7500x100
Beta,0.8
Bid,177.17
Bid Size,7500.0
Closing Price,177.54
Day Change $,-5.33
Day Change %,-0.0291
Day High,183.34
Day Low,177.32
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",6.44
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.282
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,27.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.4
Prev Close,182.87
Shares Outstanding,156.4M
Short Interest,0.0115
Today's Open,181.62
Volume,828482.0
Volume 10-day Avg,1169701.0
Volume Past Day,(Light)
