,MRVL
Price/Earnings (TTM),
Price/Sales (TTM),6.64092
Price/Book (MRQ),2.3593
Price/Cash Flow (TTM),30.51057
5yr Low,14.34
5yr High,93.85
5yr Avg Return,0.23496666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.1416431
Dividend Growth 5yr,0.0
Short Int Current Month,18569903.0
Short Int Prev Month,18625174.0
Short Int Pct of Float,0.0219102
Days to Cover,1.37662
Float,847.5918
Shares Outstanding,852.6
Institutions Holding Shares,1168.0
% Held by Institutions,0.834698
FCF Growth 5yr,0.5952529939871712
