,MRVL
% Above Low,0.21760000000000002
% Held by Institutions,0.8347
52-Wk Range,['35.30 - 93.85']
Annual Dividend $,0.24
Annual Dividend %,0.005600000000000001
Ask,42.6
Ask Size,100.0
Ask close,46.13
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,42.0
Bid Size,100.0
Bid close,40.52
Change Since Close,-0.93| |(-2.16%)
Closing Price,42.98
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",-0.26
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.648
Last (size),22.0
Last (time),1:00p ET 11/25/22
Last Trade,42.05
Market Cap,36.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,42.98
Shares Outstanding,852.6M
Short Interest,0.0219
Today's Open,
Volume,1918.0
Volume 10-day Avg,10511433.0
Volume Past Day,(Light)
