,KKR
% Above Low,0.2413
% Held by Institutions,0.5335
52-Wk Range,['41.77 - 78.40']
Annual Dividend $,0.62
Annual Dividend %,0.012
Ask,58.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.6
Bid,50.62
Bid Size,100.0
Closing Price,51.85
Day Change $,-0.23
Day Change %,-0.0044
Day High,52.15
Day Low,51.37
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",-0.66
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.48200000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,44.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,52.08
Shares Outstanding,861.1M
Short Interest,0.0258
Today's Open,51.73
Volume,783368.0
Volume 10-day Avg,3037237.0
Volume Past Day,(Light)
