,MET
Price/Earnings (TTM),28.91683
Price/Sales (TTM),0.81953
Price/Book (MRQ),2.41609
Price/Cash Flow (TTM),
5yr Low,22.85
5yr High,77.1
5yr Avg Return,0.08068333333333333
EPS Growth 5yr,0.18401769999999998
Revenue Growth 5yr,0.0314177
Dividend Growth 5yr,0.038232499999999996
Short Int Current Month,11357649.0
Short Int Prev Month,11102074.0
Short Int Pct of Float,0.0172323
Days to Cover,2.52414
Float,659.3056
Shares Outstanding,784.6062
Institutions Holding Shares,1566.0
% Held by Institutions,0.723597
FCF Growth 5yr,
