,MET
% Below High,0.0053
% Held by Institutions,0.7236
52-Wk Range,['57.05 - 77.36']
Annual Dividend $,2.0
Annual Dividend %,0.026000000000000002
Ask,76.91
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,75.83
Bid Size,100.0
Change Since Close,-0.82| |(-1.07%)
Closing Price,76.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",2.66
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.261
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,76.13
Market Cap,60.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.92
Prev Close,76.95
Shares Outstanding,784.6M
Short Interest,0.0172
Today's Open,
Volume,1.0
Volume 10-day Avg,3897937.0
Volume Past Day,(Light)
